# Placementy YT kanałów w Demand Gen (26.04–11.06) – kandydaci do wykluczenia
# Wygenerowane 11.06 na review 12–14.06. NIC nie wykluczone – decyzja po danych konwersji.
# channel_url	name	impressions	clicks	cost_pln
youtube.com/channel/UCpCK7VC8N92wwqod_QhIqCA	Mów Mi Miłosz	911	46	4
youtube.com/channel/UCJObXjRvDt6sI9KrD8mxXTA	Yoshi	904	30	4
youtube.com/channel/UCw6m0T0_F5DLfPzJHumplDw	HISTORIA REALNA	895	37	5
youtube.com/channel/UCCNRT8Oq-Nv5a3QKbE9RwSQ	MISS AGA GRA	887	36	4
youtube.com/channel/UC7WKhh0d_HU4GgEvV8QliBg	Radek Haberko	887	36	4
youtube.com/channel/UCzLBEIGwBQo3q4c11WCAg2A	DEYV Games	878	32	4
youtube.com/channel/UCWuKx41wAvbz_NNu1oD6bsQ	Jacob	875	29	3
youtube.com/channel/UCfS6mfWUd32mPfW6lAHlkjA	daryadaily	860	58	5
youtube.com/channel/UCFkKxEkn6aAcekyCnsXakUw	Majki	860	41	5
youtube.com/channel/UCFJ6bcSaEho5-RScmjEHBLw	Leon Roblox	846	41	4
youtube.com/channel/UCTou02kIXLpdnFn1cmPsoJg	Teenz	811	35	4
youtube.com/channel/UC8_99hNgsYFdPem3EA67HSg	Troom Troom PL	803	38	5
youtube.com/channel/UCSL6B3NXqrBDSeBd-nuyjwQ	HeRoS	794	40	4
youtube.com/channel/UCu8DXDfBO0P_j4xkHegBBLw	Assassinek	777	23	3
youtube.com/channel/UCLLNPuvRGKxSczJcxlOiMXg	reZigiusz	775	24	3
youtube.com/channel/UCViVL2aOkLWKcFVi0_p6u6g	wideoprezentacje	771	32	4
youtube.com/channel/UCFqLPDskfT2tdIfaQdted9A	TVN7	758	12	3
youtube.com/channel/UC0kLTLosqh6GH6L19I-3EgA	Step Records	757	36	4
youtube.com/channel/UCLXwu854Od47zMc9Pj4pFJg	Juniorsky	755	28	3
youtube.com/channel/UCxJDH_2HXzwUtT62HgWJqCg	SPInka Film Studio (official)	751	33	3
youtube.com/channel/UCcGCUzF3QYIktuV_taUDNcw	przemekbestgames	708	24	3
youtube.com/channel/UCXg4rJUbDP1IP3TmZ9KDpJg	Brianna	708	41	4
youtube.com/channel/UCitGm5MJjjUReNX7rPqDpYg	Bolo	701	27	3
youtube.com/channel/UC9mF-PfS4VpCUyT2ZAuYB_g	BabkaVR	700	34	3
youtube.com/channel/UCKFa_6EOJIpYct6ui6DXbRw	Olek ROBLOX	685	25	3
youtube.com/channel/UCCBWP7kg-nLXuHuhGf7Qpiw	vNARF	685	38	3
youtube.com/channel/UC9dU1rP5xkGfYFP8InTFp0g	Challenge Accepted Arabic	678	36	4
youtube.com/channel/UCOa6VgYciZldNd19g2NRhmQ	Polo Vibes	639	17	3
youtube.com/channel/UC-_8zExgrtmTuxZZKH6ovfw	Nina Lakomy	569	17	2
youtube.com/channel/UC8o1GcUaTdSrBDWjJNzdAmQ	Ernest	563	30	2
youtube.com/channel/UC14OarNMc15ZxzlDziVShXg	Kaluch	535	19	2
youtube.com/channel/UCt3xBaPP5ebZpe5q3pCSguA	Zaczarowany Świat Sary	492	27	2
youtube.com/channel/UCzJrfI3ax7pjsX9_dX2kDlw	Szpachla	478	16	2
youtube.com/channel/UCRpjHHu8ivVWs73uxHlWwFA	Eurovision Song Contest	466	13	2
youtube.com/channel/UCSA91E25P8AmE-V3cC2UPZg	jockerfarm	446	17	2
youtube.com/channel/UC4TVQUylEayr96p02tXKQUw	Nina Lakomy - Topic	430	17	2
youtube.com/channel/UC02KXb_VORrJYzhZZZ137Tg	Janina	428	11	2
youtube.com/channel/UCh_pXY-ao8_KXJ5uK3BQu7Q	KREMLINKA SHOW	427	17	2
youtube.com/channel/UCIfI7Yo22SMKp5PraztHM6w	Kanał Sportowy	426	12	2
youtube.com/channel/UC3ASzYY9kNCVsXeWynr0OjQ	Szewko czyli na Wschód od Bliskiego Wschodu	425	15	2
youtube.com/channel/UCJ33TxiuEEYWLZ4ahILb0zQ	Super Express	406	9	2
youtube.com/channel/UC42apyP8Jnr16QFlWaRfNng	Oskir	392	13	2
youtube.com/channel/UCxnhnONnM-wwc7NPtINJoSQ	MICHALINA PERZ 	389	21	2
youtube.com/channel/UCMA-v2JV_9ZYNoY4uY4mRWA	Radio WNET	386	6	1
youtube.com/channel/UC_FWaw6SYyYuOrrDkGsYH7g	Muffinaart Gaming	383	16	2
youtube.com/channel/UCaTcgqhFqYzhrLQzaibPyeA	Jan Piński	378	16	2
youtube.com/channel/UCE9dGytW4tjjsOPhN3e7Onw	Quiet Healing Sleep	378	15	1
youtube.com/channel/UCc7Ys58zjPxeg8UQ3cyyJsQ	Farell	375	13	2
youtube.com/channel/UCJ_tvRyvLviM5j4WWBlXcUg	GL SHOW - GL ARMY	372	22	3
youtube.com/channel/UCZxWAYl9F4VEG465MIC8dHw	Moto-Wojok	367	11	2
youtube.com/channel/UC8z-iFJ12UoZlbFvxJVhAdQ	Aurelio	365	12	2
